Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0.0,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
0.1,-70.0,1.0,0.0,-112.0,0.0,-113.0,0.0,0.0
0.2,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.3,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
0.4,-70.0,1.0,0.0,-112.0,0.0,-113.0,0.0,0.0
0.5,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.6,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.7,-70.0,1.0,0.0,-112.0,0.0,-113.0,0.0,0.0
0.8,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
0.9,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.0,-70.0,1.0,0.0,-112.0,0.0,-113.0,0.0,0.0
1.1,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
1.2,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.3,-70.0,1.0,0.0,-112.0,0.0,-113.0,0.0,0.0
1.4,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
1.5,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.6,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
1.7,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
1.8,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
1.9,-70.0,1.0,0.0,-114.0,0.0,-114.0,0.0,0.0
2.0,-70.0,1.0,0.0,-112.0,0.0,-113.0,0.0,0.0
2.1,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
2.2,-70.0,1.0,0.0,-115.0,0.0,-115.0,0.0,0.0
